SC_dbo_probsummary.number,assignee_name,onsite_time,ship_waybill,SC_dbo_ocml.number,open_time
A235454,achaj,5/3/13 6:01,529184941183,121383-001,5/1/13 6:57
A235459,achaj,5/2/13 15:52,529184941172,121387-001,5/1/13 13:20
A235461,achaj,5/2/13 15:17,529184941091,121391-001,5/1/13 15:13
A235464,achaj,5/2/13 14:15,529184941312,121393-001,5/1/13 15:41
A235480,achaj,5/3/13 13:49,529184941356,121410-001,5/2/13 13:08
